"Iran, Islamic Rep.",IRN,18075.05497
Iraq,IRQ,10861.82189
Iceland,ISL,69081.26167
Israel,ISR,49509.12899
Italy,ITA,51864.97774
Jamaica,JAM,11821.58495
Jordan,JOR,11003.12452
Japan,JPN,45572.72382
Kazakhstan,KAZ,30809.87943
Kenya,KEN,5763.910092
Kyrgyz Republic,KGZ,6132.514721
Cambodia,KHM,5349.463794
Kiribati,KIR,2364.726563
St. Kitts and Nevis,KNA,34051.88203
"Korea, Rep.",KOR,50069.82339
Kuwait,KWT,58056.23269
Latin America & Caribbean (excluding high income),LAC,18212.81813
Lao PDR,LAO,9384.265695
Lebanon,LBN,
Liberia,LBR,1724.997855
Libya,LBY,23374.989
St. Lucia,LCA,17755.96518
Latin America & Caribbean,LCN,19096.59087
Least developed countries: UN classification,LDC,3679.685531
Low income,LIC,2244.965676
Liechtenstein,LIE,
Sri Lanka,LKA,14405.41595
Lower middle income,LMC,8416.180541
Low & middle income,LMY,13213.67289
Lesotho,LSO,2694.546616
Late-demographic dividend,LTE,22814.23199
Lithuania,LTU,48396.69354
Luxembourg,LUX,142213.8517
Latvia,LVA,39956.19048
"Macao SAR, China",MAC,55344.47879
St. Martin (French part),MAF,
Morocco,MAR,9518.706055
Monaco,MCO,
Moldova,MDA,15238.14821
Madagascar,MDG,1774.068709
Maldives,MDV,24771.72294
Middle East & North Africa,MEA,19676.62933
Mexico,MEX,21512.26954
Marshall Islands,MHL,7227.858936
Middle income,MIC,14513.17177
North Macedonia,MKD,20161.75091
Mali,MLI,2517.147263
Malta,MLT,55927.85938
Myanmar,MMR,4870.021499
Middle East & North Africa (excluding high income),MNA,12764.03822
Montenegro,MNE,26984.0689
Mongolia,MNG,14230.23355
Northern Mariana Islands,MNP,
Mozambique,MOZ,1467.769766
Mauritania,MRT,6424.116895
Mauritius,MUS,26905.91862
Malawi,MWI,1732.030343
Malaysia,MYS,33433.6174
North America,NAC,74519.72561
Namibia,NAM,11205.70608
New Caledonia,NCL,
Niger,NER,1505.242676
Nigeria,NGA,5860.293736
Nicaragua,NIC,6874.811829
Netherlands,NLD,69577.40458
Norway,NOR,114898.7599
Nepal,NPL,4725.041244
Nauru,NRU,13117.99436
New Zealand,NZL,51966.86258
OECD members,OED,53854.01866
Oman,OMN,41724.3388
Other small states,OSS,26345.6675
Pakistan,PAK,6437.162663
Panama,PAN,39279.67538
Peru,PER,15047.51833
Philippines,PHL,10133.19589
Palau,PLW,
Papua New Guinea,PNG,4446.617938
Poland,POL,43268.54371
Pre-demographic dividend,PRE,3993.719017
Puerto Rico,PRI,40497.57684
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,41451.61487
Paraguay,PRY,15977.31165
West Bank and Gaza,PSE,6756.783285
Pacific island small states,PSS,7548.07022
Post-demographic dividend,PST,59180.91903
French Polynesia,PYF,
Qatar,QAT,114648.0316
Romania,ROU,41887.9219
Russian Federation,RUS,36484.67969
Rwanda,RWA,2792.421625
South Asia,SAS,7931.137897
Saudi Arabia,SAU,59065.00464
Sudan,SDN,4216.024902
Senegal,SEN,4208.964979
Singapore,SGP,127564.5566
Solomon Islands,SLB,2654.09111
Sierra Leone,SLE,1931.067331
El Salvador,SLV,11096.2132
San Marino,SMR,
Somalia,SOM,1364.101691
Serbia,SRB,23911.20122
Sub-Saharan Africa (excluding high income),SSA,4420.943422
South Sudan,SSD,
Sub-Saharan Africa,SSF,4423.488813
Small states,SST,24284.94281
Sao Tome and Principe,STP,4738.191722
Suriname,SUR,17619.80293
Slovak Republic,SVK,37459.47384
Slovenia,SVN,50031.65618
Sweden,SWE,64578.39633
Eswatini,SWZ,10782.15137
Sint Maarten (Dutch part),SXM,41811.80216
Seychelles,SYC,35227.8179
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,22914.81194
Chad,TCD,1668.022961
East Asia & Pacific (IDA & IBRD countries),TEA,19028.14255
Europe & Central Asia (IDA & IBRD countries),TEC,30183.16695
Togo,TGO,2607.927681
Thailand,THA,20671.68492
Tajikistan,TJK,4885.125701
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,19000.16066
Timor-Leste,TLS,4828.32547
Middle East & North Africa (IDA & IBRD countries),TMN,12837.79069
Tonga,TON,
South Asia (IDA & IBRD),TSA,7931.137897
Sub-Saharan Africa (IDA & IBRD countries),TSS,4423.488813
Trinidad and Tobago,TTO,27778.1806
Tunisia,TUN,12489.71807
Turkiye,TUR,37273.69976
Tuvalu,TUV,5421.252775
Tanzania,TZA,3096.884521
Uganda,UGA,2693.815286
Ukraine,UKR,12671.23926
Upper middle income,UMC,21487.64165
Uruguay,URY,28841.9857
United States,USA,76398.59174
Uzbekistan,UZB,9532.511865
St. Vincent and the Grenadines,VCT,17206.7869
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,13456.55143
Vanuatu,VUT,3289.479668
World,WLD,20645.48356
Samoa,WSM,6041.156661
Kosovo,XKX,14723.40493
"Yemen, Rep.",YEM,
South Africa,ZAF,15904.84836
Zambia,ZMB,3894.310259
Zimbabwe,ZWE,2530.645987
